Wall time,Step,Value
1750579378.3045366,14266,-5.019970893859863
1750579381.7467382,14350,-6.0037617683410645
1750579381.9263358,14355,-6.03032922744751
1750579382.2575412,14362,-5.890368461608887
1750579382.664618,14368,-7.071305274963379
1750579383.8791745,14400,-7.307187080383301
1750579383.90817,14401,-5.657097816467285
1750579384.2074811,14406,-7.113816738128662
1750579385.0218256,14420,-6.5189900398254395
1750579385.2886546,14428,-7.748715400695801
1750579385.3189197,14429,-5.362596035003662
1750579388.4024146,14495,-6.2300872802734375
1750579388.515034,14497,-6.093883037567139
1750579390.3445625,14536,-5.90094518661499
1750579392.2866879,14578,-7.035373687744141
1750579394.3742204,14624,-5.5783796310424805
1750579395.0464418,14646,-6.04889440536499
1750579399.8216522,14746,-6.566265106201172
1750579400.370264,14761,-6.417778968811035
1750579400.8845484,14778,-6.530098915100098
1750579401.3884475,14786,-5.200644493103027
1750579402.7448664,14820,-5.662571907043457
1750579404.3365564,14852,-6.475029945373535
1750579404.7802017,14865,-6.421796798706055
1750579404.8987653,14869,-5.726718425750732
1750579406.418599,14900,-6.475909233093262
1750579407.077002,14922,-6.498021125793457
1750579407.1935163,14926,-5.8076324462890625
1750579407.6837459,14941,-5.785523891448975
1750579409.9910483,15020,-5.719615936279297
1750579411.4587622,15066,-6.438765048980713
1750579411.4904804,15067,-11.493833541870117
1750579411.647346,15071,-5.520719528198242
1750579412.7009916,15099,-6.684603214263916
1750579413.174187,15111,-6.321115493774414
1750579413.5421898,15121,-5.8291916847229
1750579413.681192,15125,-6.425014495849609
1750579414.1974382,15139,-6.05490255355835
1750579414.800082,15154,-5.038398742675781
1750579415.554477,15177,-5.5499467849731445
1750579415.8054767,15186,-5.875421524047852
1750579416.2429638,15200,-5.482953071594238
1750579419.4680374,15319,-5.5244011878967285
1750579419.8866582,15335,-6.121308326721191
1750579420.2916486,15349,-5.377767562866211
1750579420.7229662,15363,-6.574399948120117
1750579420.9436533,15372,-5.800100803375244
1750579421.7179494,15401,-6.471352577209473
1750579422.185999,15420,-5.6372880935668945
1750579422.576225,15436,-5.29880952835083
1750579422.7393792,15442,-6.3070549964904785
1750579423.0761726,15457,-5.797787666320801
1750579423.2440767,15463,-5.409961223602295
1750579423.9402146,15491,-5.778339385986328
1750579423.985263,15493,-5.673480033874512
1750579427.1021652,15611,-6.928583145141602
1750579427.7135227,15634,-5.747320652008057
1750579427.8530543,15639,-6.112093448638916
1750579428.616666,15669,-5.956989765167236
1750579429.822736,15713,-5.7347235679626465
1750579430.0983727,15723,-6.566959857940674
1750579430.8328054,15750,-5.338184356689453
1750579431.1309905,15761,-6.470256805419922
1750579431.956779,15794,-6.366373062133789
1750579432.129091,15802,-5.594603538513184
1750579432.5991764,15821,-6.216451644897461
1750579432.8685527,15832,-6.19935941696167
1750579433.9138863,15874,-5.508443832397461
1750579435.094756,15922,-5.641532897949219
1750579435.1177814,15923,-7.151758193969727
1750579437.3945081,16014,-5.839778900146484
1750579437.8597112,16033,-5.843644142150879
1750579438.1443055,16043,-7.742334365844727
1750579439.022602,16077,-6.842069625854492
1750579439.7647898,16106,-5.841702461242676
1750579440.1658823,16118,-6.387345790863037
1750579440.4054658,16126,-6.032288074493408
1750579442.0999784,16186,-6.557166576385498
1750579442.1280832,16187,-6.246705532073975
1750579443.4466653,16237,-6.425729751586914
